query_number,saved_title,inserted_at,filename,category,recommended_storage,rerun_guidance,reason,characters
1,21,2026-08-03T20:17:11.258853+00:00,001-21-2ccf8817-6d17-4ca8-acf0-bd411bfee5db.sql,ONE_TIME_ADMIN,Archive outside migrations,Do not rerun unless you intentionally want that user to remain/add as a platform admin.,Same admin action as #7; contains a specific email.,280
2,20,2026-08-03T20:16:44.877755+00:00,002-20-50e73158-ff76-41a7-ab8b-84ca66e68e32.sql,CANONICAL_MIGRATION,Keep one copy in repo,Do not rerun casually; it replaces marketplace RLS/search definitions.,"Exact duplicate of #5. Keep #2, delete #5.",9932
3,19,2026-08-03T20:15:55.145734+00:00,003-19-d07921ab-1064-4f94-a313-5a67af82307f.sql,READ_ONLY_DIAGNOSTIC,Keep as diagnostic,Safe to rerun.,Current corrected diagnostics query.,1598
4,def delete from here,2026-08-03T20:09:58.277481+00:00,004-def-delete-from-here-36fafe1e-f7da-4e8f-91ee-cff83733692d.sql,CANONICAL_MIGRATION,Keep in repo,Run once in the intended sequence; do not use as routine repair SQL.,Latest launch-hardening file; exact copy of the corrected project file.,64261
5,18,2026-08-01T06:13:21.241452+00:00,005-18-6ef23f78-754d-42ec-bd62-fca79c02f7de.sql,EXACT_DUPLICATE,Delete saved snippet after archive,Do not rerun.,Byte-for-byte equivalent to #2 after whitespace normalization.,9932
6,17,2026-08-01T05:32:04.36169+00:00,006-17-dbe76e7e-9c8e-48c0-b446-b8e1a5fd4ad3.sql,SUPERSEDED_PATCH,Archive only,Do not rerun after #2.,#2 redefines all three helpers and policies from this recursion patch and adds the later search fixes.,4173
7,16,2026-08-01T04:55:44.066103+00:00,007-16-d83e3732-4844-42a2-b97e-ba50cd7f36df.sql,ONE_TIME_ADMIN_DUPLICATE,Delete or archive outside migrations,Do not rerun unless intentionally granting admin access.,"Same action as #1, with explanatory comments.",420
8,15,2026-08-01T04:54:51.589633+00:00,008-15-d669f045-8574-492b-8785-66b341e96e9c.sql,CANONICAL_MIGRATION,Keep in repo,Run once after subscriptions/paywall in the intended sequence.,"Marketplace/client accounts, bidding, hiring, feedback and gift-code schema.",60607
9,14,2026-08-01T01:09:56.387744+00:00,009-14-02b9a596-a437-41b1-93af-665a4344834a.sql,SUPERSEDED_PATCH,Archive only,Do not rerun; newer fixes cover it.,One-line billing function volatility patch; superseded by #10 and #4.,67
10,yardpilot-fix-access-code-function-volatility-v2.sql,2026-08-01T01:04:33.015134+00:00,010-yardpilot-fix-access-code-function-volatility-v2-sql-ecc8153e-739a-4dec-9949-2e47f10e1dbe.sql,VALID_HOTFIX,Preserve in migration history,Rerun only if diagnostics show affected functions are not VOLATILE.,Corrected volatility patch using existence checks.,1510
11,yardpilot-fix-access-code-function-volatility.sql,2026-08-01T01:02:46.566271+00:00,011-yardpilot-fix-access-code-function-volatility-sql-db783f03-6642-4faf-89a5-3b32ecf5dd5a.sql,BROKEN_SQL,Delete saved snippet after archive,Never run.,Contains invalid PostgreSQL syntax: ALTER FUNCTION IF EXISTS.,1484
